,branch,PT,TY,LAB,lambda3,L2-NORM,U(1),U(2),U(3),U(4),U(5),lambda4
26,3,26,0,0,0.001436088857,1.8371652265,0.63536406567,0.13468305441,1.7024797625,0.23307722264,0.023750000285,-0.22599548004
27,3,27,0,0,0.0014993768903,1.8371652905,0.63536407864,0.13468305316,1.7024798259,0.23307722928,0.023749999688,-0.23599527885
28,3,28,0,0,0.0015626807955,1.8371653546,0.63536409163,0.1346830519,1.7024798894,0.23307723593,0.02374999909,-0.24599507756
29,3,29,0,0,0.0016260005826,1.8371654187,0.63536410461,0.13468305065,1.7024799529,0.23307724258,0.023749998492,-0.25599487617
30,3,30,0,0,0.0016893362586,1.8371654828,0.6353641176,0.1346830494,1.7024800165,0.23307724923,0.023749997895,-0.26599467468
31,3,31,0,0,0.0017526878251,1.8371655469,0.63536413059,0.13468304815,1.70248008,0.23307725588,0.023749997297,-0.27599447308
32,3,32,0,0,0.001816055295,1.837165611,0.63536414358,0.13468304689,1.7024801435,0.23307726253,0.023749996698,-0.28599427138
33,3,33,0,0,0.0018794386684,1.8371656752,0.63536415658,0.13468304564,1.7024802071,0.23307726919,0.0237499961,-0.29599406959
34,3,34,0,0,0.0019428379543,1.8371657393,0.63536416958,0.13468304439,1.7024802707,0.23307727584,0.023749995502,-0.30599386769
35,3,35,0,0,0.0020062531553,1.8371658035,0.63536418258,0.13468304313,1.7024803343,0.2330772825,0.023749994903,-0.31599366569
36,3,36,0,0,0.0020696842788,1.8371658677,0.63536419559,0.13468304188,1.7024803979,0.23307728916,0.023749994304,-0.32599346358
37,3,37,0,0,0.0021331313382,1.8371659319,0.6353642086,0.13468304062,1.7024804615,0.23307729582,0.023749993705,-0.33599326138
38,3,38,0,0,0.0021965943269,1.8371659962,0.63536422161,0.13468303937,1.7024805252,0.23307730248,0.023749993106,-0.34599305907
39,3,39,0,0,0.0022600732633,1.8371660604,0.63536423462,0.13468303811,1.7024805889,0.23307730915,0.023749992507,-0.35599285666
40,3,40,0,0,0.0023235681434,1.8371661246,0.63536424764,0.13468303686,1.7024806525,0.23307731581,0.023749991908,-0.36599265415
41,3,41,0,0,0.0023870789786,1.8371661889,0.63536426066,0.1346830356,1.7024807162,0.23307732248,0.023749991308,-0.37599245153
42,3,42,0,0,0.0024506057675,1.8371662532,0.63536427369,0.13468303435,1.7024807799,0.23307732915,0.023749990709,-0.38599224882
43,3,43,0,0,0.002514148528,1.8371663175,0.63536428672,0.13468303309,1.7024808437,0.23307733582,0.023749990109,-0.395992046
44,3,44,0,0,0.002577707262,1.8371663818,0.63536429975,0.13468303183,1.7024809074,0.23307734249,0.023749989509,-0.40599184308
45,3,45,0,0,0.002641281968,1.8371664462,0.63536431278,0.13468303058,1.7024809712,0.23307734916,0.023749988909,-0.41599164005
