,branch,PT,TY,LAB,V_plc,L2-NORM,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
26,1,-26,0,0,0.0022658833493,4.1591155143,0.086297144132,4.1364640196,0.42480482946,0.00096717424031,0.086297144132,4.1364640196,0.42480482946,0.00096717424031,4.0
27,1,-27,0,0,0.0023838807586,4.1590378596,0.086297929369,4.1363868246,0.42479593611,0.0010175511071,0.086297929369,4.1363868246,0.42479593611,0.0010175511071,4.0
28,1,-28,0,0,0.002500273518,4.1589573976,0.08629874305,4.1363068389,0.42478672073,0.0010672444815,0.08629874305,4.1363068389,0.42478672073,0.0010672444815,4.0
29,1,-29,0,0,0.0026150730846,4.1588742783,0.086299583666,4.1362242115,0.42477720046,0.0011162592656,0.086299583666,4.1362242115,0.42477720046,0.0011162592656,4.0
30,1,-30,0,0,0.0027282956587,4.1587886441,0.08630044978,4.1361390844,0.42476739156,0.0011646023823,0.08630044978,4.1361390844,0.42476739156,0.0011646023823,4.0
31,1,-31,0,0,0.0028399613764,4.1587006304,0.08630134003,4.1360515919,0.42475730949,0.0012122824311,0.08630134003,4.1360515919,0.42475730949,0.0012122824311,4.0
32,1,-32,0,0,0.0029500935881,4.1586103651,0.086302253127,4.1359618611,0.42474696884,0.0012593093801,0.086302253127,4.1359618611,0.42474696884,0.0012593093801,4.0
33,1,-33,0,0,0.0030587182208,4.1585179691,0.086303187854,4.1358700123,0.42473638342,0.0013056942947,0.086303187854,4.1358700123,0.42473638342,0.0013056942947,4.0
34,1,-34,0,0,0.0031658632194,4.1584235561,0.086304143066,4.1357761585,0.42472556621,0.0013514490998,0.086304143066,4.1357761585,0.42472556621,0.0013514490998,4.0
35,1,-35,0,0,0.0032715580635,4.1583272333,0.086305117682,4.1356804064,0.42471452945,0.0013965863729,0.086305117682,4.1356804064,0.42471452945,0.0013965863729,4.0
36,1,-36,0,0,0.0033758333499,4.1582291016,0.086306110688,4.1355828561,0.42470328465,0.0014411191669,0.086306110688,4.1355828561,0.42470328465,0.0014411191669,4.0
37,1,-37,0,0,0.0034787204371,4.1581292555,0.08630712113,4.1354836017,0.42469184261,0.0014850608586,0.08630712113,4.1354836017,0.42469184261,0.0014850608586,4.0
38,1,-38,0,0,0.0035802511444,4.158027784,0.086308148114,4.1353827316,0.42468021348,0.0015284250203,0.086308148114,4.1353827316,0.42468021348,0.0015284250203,4.0
39,1,-39,0,0,0.0036804574988,4.1579247706,0.086309190799,4.1352803287,0.42466840678,0.0015712253118,0.086309190799,4.1352803287,0.42466840678,0.0015712253118,4.0
40,1,-40,0,0,0.0038283551892,4.1577675279,0.086310782568,4.1351240182,0.42465038304,0.001634398911,0.086310782568,4.1351240182,0.42465038304,0.001634398911,4.0
41,1,-41,0,0,0.0039734520775,4.1576072352,0.086312405442,4.1349646759,0.42463200766,0.0016963801379,0.086312405442,4.1349646759,0.42463200766,0.0016963801379,4.0
42,1,-42,0,0,0.0041158534575,4.1574441147,0.086314057185,4.1348025228,0.42461330596,0.0017572138934,0.086314057185,4.1348025228,0.42461330596,0.0017572138934,4.0
43,1,-43,0,0,0.0042556619624,4.1572783683,0.086315735763,4.1346377597,0.42459430102,0.0018169439418,0.086315735763,4.1346377597,0.42459430102,0.0018169439418,4.0
44,1,-44,0,0,0.0043929770444,4.1571101799,0.086317439326,4.1344705692,0.4245750138,0.0018756126883,0.086317439326,4.1344705692,0.4245750138,0.0018756126883,4.0
45,1,-45,0,0,0.0045278946311,4.156939717,0.086319166187,4.1343011179,0.42455546342,0.0019332610339,0.086319166187,4.1343011179,0.42455546342,0.0019332610339,4.0
46,1,-46,0,0,0.0046605069194,4.1567671325,0.08632091481,4.1341295578,0.42453566732,0.0019899282865,0.08632091481,4.1341295578,0.42453566732,0.0019899282865,4.0
47,1,-47,0,0,0.0047909022725,4.1565925658,0.086322683789,4.1339560276,0.42451564141,0.0020456521186,0.086322683789,4.1339560276,0.42451564141,0.0020456521186,4.0
48,1,-48,0,0,0.0049191651965,4.1564161445,0.086324471842,4.133780654,0.42449540026,0.0021004685564,0.086324471842,4.133780654,0.42449540026,0.0021004685564,4.0
