,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
505,-5,505,0,0,0.058643357004,3.4308446012,145.05882934,0.22853504208,3.5386172089,0.39286005715,0.047665306283,0.069984204079,3.1245790646,0.065902997997,0.01940502259,3.0
506,-5,506,0,0,0.058643537112,3.431906149,144.89870323,0.23202270698,3.5393510189,0.3924208303,0.047820089647,0.069994421341,3.1260923599,0.064155856944,0.019409678401,3.0
507,-5,507,0,0,0.058643698017,3.4330025251,144.72033286,0.23520977562,3.5400814457,0.39198382824,0.047952981028,0.070009751302,3.1277883151,0.062621589376,0.019415769671,3.0
508,-5,508,6,7,0.058643698216,3.433003983,144.72008879,0.23521225536,3.5400798384,0.39198565016,0.047953138838,0.070009735904,3.1277906786,0.062620479007,0.019415751707,3.0
509,-5,509,0,0,0.058643963735,3.4352626368,144.32544073,0.24092664979,3.5415296801,0.39112618473,0.048171850081,0.070050385183,3.1315509429,0.060019350728,0.01943177974,3.0
510,-5,510,0,0,0.058644157244,3.4375792055,143.89533744,0.24598516394,3.5429689488,0.39027417866,0.04834481701,0.070100053783,3.1356405828,0.057855492844,0.01945117281,3.0
511,-5,511,0,0,0.058644280996,3.4399266035,143.44148685,0.25055421955,3.5444026716,0.38944378604,0.048486678378,0.070156139354,3.1399347303,0.056001748966,0.019472443863,3.0
512,-5,512,0,0,0.058644337369,3.4422953636,142.96960099,0.25474173837,3.5458242994,0.38861219928,0.048604208911,0.070216251514,3.1443701217,0.054376341168,0.019495192738,3.0
513,-5,513,5,8,0.058644341505,3.4431421377,142.79807609,0.25614652345,3.5463288849,0.38831744275,0.048640931333,0.070238550464,3.1459758411,0.053843985948,0.019503578597,3.0
514,-5,514,0,0,0.058644268781,3.4467298556,142.05734022,0.26174375666,3.5484443151,0.3871032541,0.048776528297,0.070336344273,3.1528509307,0.051798951167,0.019540445639,3.0
515,-5,515,0,0,0.058644052498,3.4503418463,141.29203444,0.2668450096,3.5505642912,0.38591402831,0.048883861673,0.070438213632,3.1598661058,0.050020325375,0.019578529156,3.0
