,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(4),PAR(5),PAR(6),PAR(7),PAR(8),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(80)
782,-1,782,0,0,0.85219026793,1.0923954338,65.654813029,1.0,0.43791032751,0.6157741912,0.17458423116,0.15991991506,1.0,0.062920058638,0.27415801876,0.021330211779,0.10692204164,4.0
783,-1,783,0,0,0.85245587552,1.092328659,65.677325507,1.0,0.43761586348,0.61527054199,0.17446966496,0.15992964045,1.0,0.062956721577,0.27418662813,0.021396725186,0.10698155417,4.0
784,-1,784,0,0,0.85272149523,1.0922622857,65.699946472,1.0,0.43725137212,0.61476644658,0.1743545339,0.15993850812,1.0,0.062994936713,0.27420871164,0.021461082858,0.10704383009,4.0
785,-1,785,0,0,0.85298715745,1.0921963185,65.722679799,1.0,0.4369064053,0.61426694362,0.17424045673,0.1599499108,1.0,0.063031495613,0.27422809583,0.021527699656,0.10710313822,4.0
786,-1,786,0,0,0.85325288956,1.0921307625,65.745529334,1.0,0.4366042441,0.613767084,0.17412633061,0.15996114759,1.0,0.063067958548,0.27424989295,0.021594260825,0.10716229199,4.0
787,-1,787,0,0,0.85351871579,1.0920656221,65.768498888,1.0,0.43620762611,0.6132704604,0.17401190702,0.15997257981,1.0,0.0631027047,0.27434619261,0.021660416124,0.10721657434,4.0
788,-1,788,0,0,0.85378465735,1.092000902,65.791592297,1.0,0.43592007339,0.61277698468,0.1738989015,0.15998339183,1.0,0.063138787031,0.27435281347,0.021726939097,0.10727517642,4.0
789,-1,789,0,0,0.85405073221,1.0919366063,65.81481335,1.0,0.43560107445,0.61228264636,0.17378538793,0.15999403998,1.0,0.063174757213,0.27436176905,0.021793387019,0.1073336105,4.0
790,-1,790,0,0,0.85431695504,1.0918727394,65.838165858,1.0,0.4352310524,0.61179385186,0.17367273866,0.16000450093,1.0,0.063215287874,0.27439665315,0.021860193952,0.10739202308,4.0
791,-1,791,0,0,0.85458333739,1.0918093052,65.861653589,1.0,0.43493052921,0.61130617021,0.17355904903,0.16001462434,1.0,0.063250893606,0.27443595689,0.021926631671,0.10745003194,4.0
792,-1,792,0,0,0.85484988746,1.0917463079,65.885280368,1.0,0.43459870674,0.61082064609,0.17344771177,0.16002458558,1.0,0.063286372616,0.27444433708,0.021992976243,0.10750786206,4.0
793,-1,793,0,0,0.85511661032,1.0916837512,65.909050041,1.0,0.43423366411,0.61033813417,0.17333511321,0.16003322336,1.0,0.063318157728,0.27446107697,0.022061857939,0.10756601639,4.0
794,-1,794,0,0,0.85538350762,1.0916216389,65.93296642,1.0,0.43393996641,0.60985583859,0.17322392005,0.16004261457,1.0,0.063353469841,0.2745006068,0.022128235445,0.10762360885,4.0
